date,grade,name,station
1993-03-02,Carabinero,Luis Alberto Marin Garcia,20a. Com. Puente Alto
1993-02-20,Sargento 2do.,Juan Luis Cornejo Pizarro,Orfeón Nacional Decar
1993-02-10,Carabinero,Óscar Laurencio Adasme Henriquez,Dirección de Bienestar. PM.
1993-02-03,Cabo 1ro.,Reinaldo Inostroza Ojeda,28a. Com. FF.EE.
1993-01-14,Cabo 2do.,Miguel German Salazar Rodríguez,Tenencia Tirua
1992-12-02,Cabo 2do.,Alexis Rolando López Somarriva,21a. Com. Estación Central
1992-11-25,Teniente ,Marco Alfonso Inostroza Vásquez ,Prefectura Aeropolicial 
1992-11-25,Mayor ,Orlando Aníbal Carreño Nachar ,Prefectura Aeropolicial 
1992-10-25,Cabo 2do.,Patricio Domingo Chávez Soto,17a. Com. Las Condes
1992-09-05,Cabo 2do.,Carlos David Pérez Molina,18a. Com. Ñuñoa
1992-08-19,Cabo 2do.,Juan Manuel Poveda Matamala,1a. Com. Valdivia
1992-08-07,Cabo 1ro.,Jaime Torneria Fuentes,30a. Com. R.P.
1992-07-24,Carabinero,Juan David Nuñez Sepúlveda,1a. Com. Ñuñoa
1992-06-05,Sargento 2do.,Guillermo Orlando Saez Villarreal,3a. Com. Los Andes
1992-05-21,Carabinero,Rodolfo Rosendo Orellana Baeza,13a. Com. La Granja
1992-05-15,Suboficial,Cornelio Catalan Sandoval,1a. Com. San Carlos
1992-04-27,Carabinero,Robertino Del Carmen Barrera Bustamante,5a. Com. Puerto Montt
1992-02-15,Cabo 1ro.,Isaías Daniel Baez Leal,17a. Com. Las Condes
1992-01-11,Cabo 1ro.,Juan Carlos Palominos Aguilera,Pref. Cautin. PM.
1992-01-09,Cabo 1ro.,Alejandro Tomas Seydewitz Barria,26a. Com. Pudahuel
1992-01-05,Carabinero,Javier Alexis Maureira Jerez,Subcom. Chuquicamata
1991-11-30,Carabinero,David Patricio Venegas Hidalgo,5a. Com. Conchalí
1991-11-21,Sargento 2do.,Héctor Segundo Jara Henriquez,42a. Com. R.P.
1991-11-21,Carabinero,David Edison Mayor Briones,42a. Com. R.P.
1991-11-10,Sargento 2do.,Ignacio Segundo Delgado Vásquez,28a. Com. FF.EE.
1991-11-04,Sargento 2do.,Sergio Placido Luque Calle,Pref. Coquimbo. PM.
1991-09-30,Carabinero,Jaime Edgardo Pantoja Arias,36a. Com. La Florida
1991-09-24,Cabo 1ro.,Gonzalo Segundo Labra Gómez,Tenencia Carretera Talca
1991-09-10,Carabinero,Victor Hugo Cantillana Alarcon,3a. Com. Antofagasta
1991-09-03,Carabinero,Roberto Carlos Rojas Maureira,39a. Com. Tránsito Motorizada
1991-09-02,Teniente ,Eduardo Alberto Patricio Rodríguez Penna ,2a. Comisaría Pozo Almonte 
1991-08-08,Cabo 2do.,Miguel Tolentino Zapata Matamala,32a. Com. Tránsito
1991-07-24,Cabo 2do.,José Blas Carreño Fuentes,40a. Com. FF.EE.
1991-07-19,Sargento 2do.,Manuel Aurelio Cares Alfaro,2a. Com. Santiago
1991-07-17,Cabo 1ro.,Hernán Saavedra Oses,2a. Com. Pozo Almonte
1991-04-04,Cabo 2do.,Agustín Adolfo Medel Barra,7a. Com. Villarrica
1991-03-27,Capitán ,Fermín Roberto Guiñez Naudón ,42a. Com. Radiopatrullas
1991-02-28,Carabinero,Osvaldo Francisco Reyes Reyes,7a. Com. Renca
1991-01-24,Carabinero,Manuel Humberto Miranda Barrera,5a. Com. Conchalí
1991-01-22,Cabo 2do.,Waldo David Osorio Reyes,4a. Com. Tránsito Concep.
1990-12-29,Cabo 2do.,Juan José Llamin Llanquileo,19a. Com. Providencia
1990-11-25,Teniente ,Luis Enrique Ramirez Vivanco ,1a. Com. Linares
1990-09-20,Cabo 2do.,Sergio Hernán Ortega Galaz ,29a. Com. FF.EE.
1990-08-10,Carabinero,Mario Gastón Pacheco Lagos,36a. Com. La Florida
1990-08-10,Carabinero,Patricio Hugo Novoa Inostroza,36a. Com. La Florida
1990-08-09,Cabo 2do.,Jorge Luis Fernández Matus,5a. Com. Panguipulli
1990-08-04,Carabinero,Juan Francisco Salgado Riquelme,5a. Com. Yumbel
1990-07-01,Carabinero,Heraldo Hernán Baeza González ,1a. Com. Concepción
1990-06-20,Tte. Crl. (S) ,Mario Osvaldo Romero Ramos ,Hospital de Carabineros
1990-06-04,Teniente ,Fernando Ricardo Toledo Pérez ,Subdir. de Actividades Policiales Especiales
1990-05-19,Carabinero,Freddy Eduardo Higueras Pizarro,1a. Com. Calama
1990-05-17,Cabo 2do.,Ricardo Iván Ojeda Romani,1a. Com. Angol
1990-05-16,Carabinero,Luis Alberto Fuentes Bastias,15a. Com. La Granja
